symbol	set
BST2	Th1
BTG3	Th1
CD28	Th1
CSF2	Th1
CTLA4	Th1
DPP4	Th1
DUSP5	Th1
IFNG	Th1
IL18R1	Th1
IL2	Th1
IL22	Th1
IL2RA	Th1
IRF1	Th1
LRP8	Th1
LTA	Th1
STAT1	Th1
STAT4	Th1
TBX21	Th1
TNF	Th1
ZBTB32	Th1
AHI1	Th2
CCR4	Th2
CCR7	Th2
CEBPB	Th2
CXCR4	Th2
EVI5	Th2
GATA3	Th2
GFI1	Th2
ICOS	Th2
IL13	Th2
IL4	Th2
IL4R	Th2
IL5	Th2
IRF4	Th2
JAK1	Th2
LIMA1	Th2
MAF	Th2
NFATC1	Th2
NFATC2	Th2
NFATC2IP	Th2
SLC39A14	Th2
SMAD2	Th2
SNRPD1	Th2
STAT6	Th2
